Nums,Spelling,Syllable Position,Major value (IPA),Examples of major value,Minor values,Examples of minor value,Except values,Examples of Except value
1,a,before multiple consonants,/æ/,"hatchet, banner, tally",/eɪ/,"ache, ancient, chamber, pastry",/ɒ/,yacht
2,a,final vowel in word,/æ/,"acrobat, cat",/eɪ/,bass,,
3,a,followed by 2 or more unstressed syllables,/æ/,"national, camera, reality ",/eɪ/,"nationhood, scathingly",,
4,a,"next syllable contains /ɪ, ə/",,,/eɪ/,"basis, aphasic",,
5,a,"next syllable contains /ɪ, ə/",/æ/,"acid, granite, palace",/ɑː/,"father (RP: aft, ask, dance, past)",,
6,a,"before final -nge, -ste",/eɪ/,"range, exchange, haste",/æ/,"flange, caste (GA)",,
7,a,before single consonant,/eɪ/,"gave, opaque, savor, status",/æ/,"have, plaque, manor, statue",/ɛ/,"many, any, ate (RP)"
8,a,before single consonant,,,,,/aɪ/,naive
9,a,before cons + (-le or r+vowel),/eɪ/,"table, hatred, April",/æ/,"macle, sacrifice, theatrical",,
10,a,before heterosyllabic vowel,/eɪ/,"chaos, aorta, mosaic",/ɑː/,"debacle, melange",,
11,a,before heterosyllabic vowel,,,/ɑː/,"gala, lava, slalom, sonata",,
12,a,before final r or r + cons.(and in derived terms),/ɑː/,"bar, cart",,,/ɛə/,scarce
13,a,before final r or r + cons.(and in derived terms),/ɑː/,"barred, marring",,,,
14,a,before r + vowel,/ɛ(ə)/ †,"area, care, garish, wariness",/æ/ †,"arid, parish, mariners, caraway",/ɔː/,quarantine (GA)
15,a,before r + vowel,,,/ɑː/,"aria, are, safaris, faraway",/ɒ/,waratah
16,a,word-final (stressed),/ɑː/,"bra, cha-cha, schwa, spa",,,,
17,a,"after /w/ except before /k/, /ɡ/, /ŋ/",/ɒ/ (/ɑː/)*,"want, watch, quality, squash, swamp, wapiti, swastika, wallet",/ɒ/ (/ɔː/)*,"wash, wasp, quarantine",/ɑː/,"qualm, suave, swami"
18,a,"after /w/ except before /k/, /ɡ/, /ŋ/",,,/ɔː/,"water, wall, walnut, waltz",/æ/,"swam, aquatic (RP)"
19,a,"after /w/ except before /k/, /ɡ/, /ŋ/",,,/ɛ(ə)/,"aware, square, wary, antiquarian",/ʌ/,"was, what (GA)"
20,a,"after /w/ except before /k/, /ɡ/, /ŋ/",,,/eɪ/,"persuade, wastage, swathe",,
21,a,after /w/ before final r or r + cons.(and in derived terms),/ɔː/,"war, award, dwarf, warning, quarter, warring",,,/ɑː/,"jaguar (GA), quark"
22,a,after /w/ before final r or r + cons.(and in derived terms),,,,,/ɒ/,warrior (RP)
23,a,unstressed,/ə/,"about, an, salary, woman, blancmange, opera, via",/ə/ to Ø,"artistically, ordinary, necessary",/i/,"karaoke, bologna(GA)"
24,a,unstressed,,,/ɪ/,"chocolate, purchase, solace,",/ɑː/,"retard (n), canard (RP)"
25,a,unstressed,,,/eɪ/,"probate, folate, kinase",,
26,a,"unstressed, in -age","/ɪ, ə/","damage, forage, garbage",/ɑː/,"(RP): garage, barrage",/eɪ/,teenage
27,"aa, ah",,/ɑː/,"baa, aardvark, blah",/ɛə/,Aaron,/eɪ/,Quaalude
28,ae,usually,/iː/,"encyclopaedia, paediatrician",/ɛ/,aesthetic,/eɪ/,"reggae, sundae, gaelic"
29,ae,before r,/ɛə/,"aerial, aeroplane",/ɪə/,chimaera,/ə/,anaerobe
30,ai,stressed,/eɪ/,"daisy, laid, paisley, regain, waif",/aɪ/,"aisle, bonsai, daimon, krait",/æ/,"plaid, plaited, daiqiri"
31,ai,stressed,,,/ɛ/,"said, again, against",/aɪiː/,"naif, caique"
32,ai,stressed,,,/eɪ ɪ/,"dais, laic, mosaic, papain",/i ɪ/,archaism
33,ai,before r,/ɛə/,"cairn, millionaire, dairy",,,/aɪ/,"hetaira, zaire"
34,ai,unstressed,"/ɪ, ə/","bargain, mountain",/ə/,"certain, coxswain, spritsail",,
35,ao,,/aʊ/,"cacao, miaow, Taoism",/eɪ/,gaol,/oʊ/,pharaoh
36,ao,,,,/eɪɒ/,"kaon, chaos",/eɪɔː/,aorta
37,ao,,,,/eɪə/,"aorist, kaolin",/eɪoʊ/,baobab
38,ao,,,,/ɔː/,extraordinary,/ioʊ/,karaoke
39,au,,/ɔː/,"aura, cause, chauffer, slaughter",/ɒ/,"because, laurel, leprechaun",/eɪ/,gauge
40,au,,,,/ɑː/ (/æ/)**,"aunt, draught, laughter",/aʊə/,gaur
41,au,,,,/aʊ/,"degauss, graupel, trauma (GA)",/ʌ/,because (GA)
42,au,,,,/oʊ/,"chauffeur, gauche, mauve",/ə/,"aurora, meerschaum"
43,aw,,/ɔː/,"awed, flaw, hawk, tawny",,,/ə/,awry
44,ay,,/eɪ/,"bayonet, essays, grayer, hayride",/aɪ/,"aye, bayou, kayak, papaya",/iː/,"cay, quay, parlay"
45,ay,,,,/ɛ/,"mayor, prayer, says",/əj/,gayal
46,e,before single consonant,/iː/,"even, demon, fetal, recombine",/ɛ/,"ever, lemon, petal, recollect",/eɪ/,"crepe, suede, ukulele"
